"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
YAK,1976,6,131,52,29,7,,individual
PWS,1976,1,113,6,3019,370,,regional;individual
BER,1976,0,31,42,0,0,,individual;regional;local
KSK,1976,50,16,112,40,233,,local
YUK,1976,88,0,5,0,757,,regional;individual
NRS,1976,2,0,7,88,96,,regional
KTZ,1976,0,0,0,0,160,,individual
ALU,1976,0,0,0,0,0,,individual;local;regional
BRB,1975,30,4899,46,0,888,,regional;individual
CKI,1975,5,713,234,1400,973,,local;individual
CHG,1975,1,400,53,66,25,,regional;individual
COP,1975,20,335,54,0,1,,local
SOP,1975,0,244,0,61,131,,individual;regional
NOP,1975,2,238,28,0,9,,local
PWS,1975,3,190,6,4453,100,,regional;local;individual
KOD,1975,0,136,24,2943,84,,individual
SSE,1975,144,115,271,3333,374,,local
YAK,1975,6,73,38,80,4,,local;individual
NSE,1975,151,57,119,617,310,,regional;individual;local
BER,1975,0,22,24,0,0,,individual;regional
ALU,1975,0,19,0,1,2,,local;regional;individual
KSK,1975,28,18,110,1,224,,local
YUK,1975,64,0,3,0,985,,individual;local;regional
NRS,1975,2,0,5,32,213,,individual;local
KTZ,1975,0,0,0,0,564,,local;regional
BRB,1974,46,1362,44,940,913,,regional;local
CHG,1974,0,663,12,70,34,,local;regional
COP,1974,19,607,47,10,1,,regional;local;individual
CKI,1974,7,525,206,534,416,,individual
KOD,1974,1,419,14,2645,249,,individual;regional;local
NRS,1974,3,0,2,149,164,,individual;local;regional
SSE,1974,152,346,640,4221,685,,local;individual;regional
NSE,1974,187,259,558,664,984,,individual
NOP,1974,5,256,24,11,36,,individual;regional
SOP,1974,1,197,9,101,72,,regional;individual;local
PWS,1974,2,130,1,449,89,,individual
YAK,1974,8,82,79,4,4,,individual;regional
KSK,1974,31,28,179,60,194,,regional
BER,1974,0,4,29,0,0,,individual;regional;local
YUK,1974,98,0,16,0,868,,local;regional;individual
NRS,1974,3,0,2,149,164,,individual;local;regional
KTZ,1974,0,0,0,0,627,,regional;local;individual
ALU,1974,0,0,0,0,0,,local;regional;individual
CHG,1973,1,870,22,25,9,,regional;individual
BRB,1973,44,761,57,0,1063,,local;regional;individual
CKI,1973,5,699,106,634,783,,individual;regional
NSE,1973,226,455,443,1883,964,,individual;local
SSE,1973,113,422,349,4559,792,,regional;individual
COP,1973,20,333,132,9,10,,regional;local
SOP,1973,0,330,7,58,293,,individual
NOP,1973,5,172,27,1,156,,local;individual
KOD,1973,1,167,4,512,318,,local;regional;individual
YAK,1973,4,128,43,17,9,,regional;local;individual
PWS,1973,2,125,2,2057,730,,local;regional;individual
BER,1973,0,15,65,0,0,,individual;local
KSK,1973,51,5,152,1,185,,individual
YUK,1973,75,0,37,0,518,,regional;individual
NRS,1973,2,0,9,48,124,,regional;individual;local
KTZ,1973,0,0,0,0,379,,individual;local;regional
ALU,1973,0,0,0,2,0,,regional;local
BRB,1972,70,2825,15,127,418,,regional;individual;local
CKI,1972,16,938,82,657,706,,individual
COP,1972,22,727,103,2,1,,local;individual;regional
SOP,1972,1,557,8,78,732,,regional
SSE,1972,142,463,821,9153,1030,,local;regional;individual
CHG,1972,0,378,20,72,78,,local;regional;individual
NSE,1972,140,324,635,3237,1905,,local
KOD,1972,1,222,17,2478,1163,,regional
PWS,1972,1,198,3,55,45,,individual;local;regional
NOP,1972,2,179,10,0,85,,local;individual;regional
YAK,1972,6,132,56,3,8,,regional;local;individual
BER,1972,0,52,20,0,0,,regional;local;individual
KSK,1972,57,4,24,2,97,,regional;local
YUK,1972,93,0,22,0,288,,local
NRS,1972,3,0,0,45,101,,local;individual;regional
KTZ,1972,0,0,0,0,170,,individual;regional
ALU,1972,0,0,0,3,0,,local;regional;individual
BRB,1971,123,9584,13,0,832,,individual;local;regional
CHG,1971,2,1016,15,632,359,,local;regional
SOP,1971,2,716,17,1425,1361,,individual
CKI,1971,20,659,104,428,476,,individual
COP,1971,16,617,209,2,5,,local
KOD,1971,1,478,23,4334,1541,,regional;local
NOP,1971,2,354,8,0,64,,individual;local;regional
NSE,1971,197,257,442,3015,1237,,regional;local
SSE,1971,125,237,428,6259,703,,individual;local
YAK,1971,10,129,41,81,5,,individual;local;regional
